DS_SHORT_NAME,DS_URL_TYPE,DS_URL,DS_URL_COMMENTS,PERIOD_AVAIL,DP_DIR_PATH,DP_DIR_HOST,ENTERED
slgeo,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/SANDS/Landsat/GeoTIFF/,,All,/ftp/public/pub/data/SANDS/Landsat/GeoTIFF/,GHRC-LT01,
smgeo,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/SANDS/MODIS/GeoTIFF/,,All,/ftp/public/pub/data/SANDS/MODIS/GeoTIFF/,GHRC-LT01,
smsub,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/SANDS/MODIS/HDF-EOS-Subset/,,All,/ftp/public/pub/data/SANDS/MODIS/HDF-EOS-Subset/,GHRC-LT01,
gpm2dnsstc,Data Access,ftp://gpm.nsstc.nasa.gov/gpm_validation/berm_nsstc/2dvd/,,All,/ftp/public/gpm_validation/berm_nsstc/2dvd/,GHRC-FC02,
namapr2,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/APR2/browse/,,All,/ftp/public/namma/APR2/browse/,GHRC-FC02,
namtoga,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/Radar-TOGA/,,All,/ftp/public/namma/Radar-TOGA/browse/,GHRC-FC02,
namcaps,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/CAPS-PIP/browse/,,All,/ftp/public/namma/CAPS-PIP/browse/,GHRC-FC02,
namdc8nav,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/DC8-Nav/browse/,,All,/ftp/public/namma/DC8-Nav/browse/,GHRC-FC02,
namhamsr,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/HAMSR/browse/,,All,/ftp/public/namma/HAMSR/browse/,GHRC-FC02,
namradio,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/Radiosonde/browse/,,All,/ftp/public/namma/Radiosonde/browse/,GHRC-FC02,
namnpol,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/Radar-NPOL/browse/,,All,/ftp/public/namma/Radar-NPOL/browse/,GHRC-FC02,
namdblue,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/Deep-Blue/browse/,,All,/ftp/public/namma/Deep-Blue/browse/,GHRC-FC02,
